Year;race_ethnicity;date;milestone
1954;White;1954;Brown v. Board Of Education                             
1954;White;1954;Brown v. Board Of Education                             
1954;White;1954;Brown v. Board Of Education                             
1954;White;1954;Brown v. Board Of Education                             
1954;White;1954;Brown v. Board Of Education                             
1954;White;1954;Brown v. Board Of Education                             
1954;White;1954;Brown v. Board Of Education                             
1954;White;1954;Brown v. Board Of Education                             
1954;White;1954;Brown v. Board Of Education                             
1954;White;1954;Brown v. Board Of Education                             
1954;White;1954;Brown v. Board Of Education                             
1954;Black;1954;Brown v. Board Of Education                             
1954;White;1954;Brown v. Board Of Education                             
1954;White;1954;Brown v. Board Of Education                             
1954;White;1954;Brown v. Board Of Education                             
1954;White;1954;Brown v. Board Of Education                             
1954;White;1954;Brown v. Board Of Education                             
1954;White;1954;Brown v. Board Of Education                             
1954;Hispa;1954;Brown v. Board Of Education                             
1954;White;1954;Brown v. Board Of Education                             
1954;White;1954;Brown v. Board Of Education                             
1954;White;1954;Brown v. Board Of Education                             
1954;White;1954;Brown v. Board Of Education                             
1954;White;1954;Brown v. Board Of Education                             
1954;White;1954;Brown v. Board Of Education                             
1955;White;1955;Emmett Till                                             
1955;White;1955;Rosa Parks and the Montgomery Bus Boycott               
1955;White;1955;Emmett Till                                             
1955;White;1955;Rosa Parks and the Montgomery Bus Boycott               
1955;White;1955;Emmett Till                                             
1955;White;1955;Rosa Parks and the Montgomery Bus Boycott               
1955;White;1955;Emmett Till                                             
1955;White;1955;Rosa Parks and the Montgomery Bus Boycott               
1955;White;1955;Emmett Till                                             
1955;White;1955;Rosa Parks and the Montgomery Bus Boycott               
1955;White;1955;Emmett Till                                             
1955;White;1955;Rosa Parks and the Montgomery Bus Boycott               
1955;White;1955;Emmett Till                                             
1955;White;1955;Rosa Parks and the Montgomery Bus Boycott               
1955;White;1955;Emmett Till                                             
1955;White;1955;Rosa Parks and the Montgomery Bus Boycott               
1955;White;1955;Emmett Till                                             
1955;White;1955;Rosa Parks and the Montgomery Bus Boycott               
1955;White;1955;Emmett Till                                             
