birthplace;party
England    ;Republican                                   
USA        ;Republican                                   
Canada     ;Republican                                   
Canada     ;Republican                                   
Moldova    ;Republican                                   
Canada     ;Republican                                   
USA        ;Republican                                   
USA        ;Republican                                   
USA        ;Republican                                   
USA        ;Republican                                   
USA        ;Republican                                   
Germany    ;Republican                                   
USA        ;Republican                                   
USA        ;Republican                                   
Moldova    ;Republican                                   
Switzerland;Republican                                   
USA        ;Republican                                   
USA        ;Republican                                   
USA        ;Republican                                   
Mexico     ;Republican                                   
USA        ;Republican                                   
USA        ;Republican                                   
USA        ;Republican                                   
USA        ;Republican                                   
USA        ;Republican                                   
Belgium    ;Republican                                   
USA        ;Republican                                   
Austria    ;Republican                                   
USA        ;Republican                                   
Turkey     ;Republican                                   
USA        ;Republican                                   
USA        ;Republican                                   
USA        ;Republican                                   
USA        ;Republican                                   
Italy      ;Republican                                   
USA        ;Republican                                   
USA        ;Republican                                   
USA        ;Republican                                   
Mexico     ;Republican                                   
Russia     ;Republican                                   
USA        ;Republican                                   
Sweden     ;Republican                                   
USA        ;Republican                                   
Japan      ;Republican                                   
USA        ;Republican                                   
England    ;Republican                                   
USA        ;Republican                                   
USA        ;Republican                                   
England    ;Republican                                   
USA        ;Republican                                   
England    ;Republican                                   
USA        ;Republican                                   
England    ;Republican                                   
USA        ;Republican                                   
Wales      ;Republican                                   
Germany    ;Republican                                   
USA        ;Republican                                   
France     ;Republican                                   
USA        ;Republican                                   
USA        ;Republican                                   
USA        ;Republican                                   
USA        ;Republican                                   
England    ;Republican                                   
USA        ;Republican                                   
USA        ;Republican                                   
USA        ;Republican                                   
England    ;Republican                                   
USA        ;Republican                                   
England    ;Republican                                   
USA        ;Republican                                   
USA        ;Republican                                   
England    ;Republican                                   
Japan      ;Republican                                   
USA        ;Republican                                   
England    ;Republican                                   
USA        ;Republican                                   
