Year;race_ethnicity;start;end;president;party
1942;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1942;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1943;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1943;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1943;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1943;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1943;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1943;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1943;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1943;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1943;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1943;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1943;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1943;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1943;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1943;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1943;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1943;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1943;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1943;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1943;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1943;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1943;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1943;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1943;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1943;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1943;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1944;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1944;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1944;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1944;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1944;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1944;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1944;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1944;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1944;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1944;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1944;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1944;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1944;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1944;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1944;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1944;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1944;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1944;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1944;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1944;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1944;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1944;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1944;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1944;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1944;White;1933;1945;Franklin D. Roosevelt ;Democratic                                   
1945;White;1945;1953;Harry S. Truman       ;Democratic                                   
1945;White;1945;1953;Harry S. Truman       ;Democratic                                   
1945;White;1945;1953;Harry S. Truman       ;Democratic                                   
1945;White;1945;1953;Harry S. Truman       ;Democratic                                   
1945;White;1945;1953;Harry S. Truman       ;Democratic                                   
1945;White;1945;1953;Harry S. Truman       ;Democratic                                   
1945;White;1945;1953;Harry S. Truman       ;Democratic                                   
1945;White;1945;1953;Harry S. Truman       ;Democratic                                   
1945;White;1945;1953;Harry S. Truman       ;Democratic                                   
1945;White;1945;1953;Harry S. Truman       ;Democratic                                   
1945;White;1945;1953;Harry S. Truman       ;Democratic                                   
1945;White;1945;1953;Harry S. Truman       ;Democratic                                   
1945;White;1945;1953;Harry S. Truman       ;Democratic                                   
1945;White;1945;1953;Harry S. Truman       ;Democratic                                   
1945;White;1945;1953;Harry S. Truman       ;Democratic                                   
1945;White;1945;1953;Harry S. Truman       ;Democratic                                   
1945;White;1945;1953;Harry S. Truman       ;Democratic                                   
1945;White;1945;1953;Harry S. Truman       ;Democratic                                   
1945;White;1945;1953;Harry S. Truman       ;Democratic                                   
1945;White;1945;1953;Harry S. Truman       ;Democratic                                   
1945;White;1945;1953;Harry S. Truman       ;Democratic                                   
1945;White;1945;1953;Harry S. Truman       ;Democratic                                   
1945;White;1945;1953;Harry S. Truman       ;Democratic                                   
1945;White;1945;1953;Harry S. Truman       ;Democratic                                   
1945;White;1945;1953;Harry S. Truman       ;Democratic                                   
1946;White;1945;1953;Harry S. Truman       ;Democratic                                   
1946;White;1945;1953;Harry S. Truman       ;Democratic                                   
1946;White;1945;1953;Harry S. Truman       ;Democratic                                   
1946;White;1945;1953;Harry S. Truman       ;Democratic                                   
1946;White;1945;1953;Harry S. Truman       ;Democratic                                   
1946;White;1945;1953;Harry S. Truman       ;Democratic                                   
1946;White;1945;1953;Harry S. Truman       ;Democratic                                   
1946;White;1945;1953;Harry S. Truman       ;Democratic                                   
1946;White;1945;1953;Harry S. Truman       ;Democratic                                   
1946;White;1945;1953;Harry S. Truman       ;Democratic                                   
1946;White;1945;1953;Harry S. Truman       ;Democratic                                   
1946;White;1945;1953;Harry S. Truman       ;Democratic                                   
1946;White;1945;1953;Harry S. Truman       ;Democratic                                   
1946;White;1945;1953;Harry S. Truman       ;Democratic                                   
1946;White;1945;1953;Harry S. Truman       ;Democratic                                   
1946;White;1945;1953;Harry S. Truman       ;Democratic                                   
1946;White;1945;1953;Harry S. Truman       ;Democratic                                   
1946;White;1945;1953;Harry S. Truman       ;Democratic                                   
1946;White;1945;1953;Harry S. Truman       ;Democratic                                   
1946;White;1945;1953;Harry S. Truman       ;Democratic                                   
1946;White;1945;1953;Harry S. Truman       ;Democratic                                   
1946;White;1945;1953;Harry S. Truman       ;Democratic                                   
1946;White;1945;1953;Harry S. Truman       ;Democratic                                   
1946;White;1945;1953;Harry S. Truman       ;Democratic                                   
1946;White;1945;1953;Harry S. Truman       ;Democratic                                   
1947;White;1945;1953;Harry S. Truman       ;Democratic                                   
1947;White;1945;1953;Harry S. Truman       ;Democratic                                   
1947;White;1945;1953;Harry S. Truman       ;Democratic                                   
1947;White;1945;1953;Harry S. Truman       ;Democratic                                   
1947;White;1945;1953;Harry S. Truman       ;Democratic                                   
1947;White;1945;1953;Harry S. Truman       ;Democratic                                   
1947;White;1945;1953;Harry S. Truman       ;Democratic                                   
1947;White;1945;1953;Harry S. Truman       ;Democratic                                   
1947;White;1945;1953;Harry S. Truman       ;Democratic                                   
1947;White;1945;1953;Harry S. Truman       ;Democratic                                   
1947;White;1945;1953;Harry S. Truman       ;Democratic                                   
1947;White;1945;1953;Harry S. Truman       ;Democratic                                   
1947;White;1945;1953;Harry S. Truman       ;Democratic                                   
1947;White;1945;1953;Harry S. Truman       ;Democratic                                   
1947;White;1945;1953;Harry S. Truman       ;Democratic                                   
1947;White;1945;1953;Harry S. Truman       ;Democratic                                   
1947;White;1945;1953;Harry S. Truman       ;Democratic                                   
1947;White;1945;1953;Harry S. Truman       ;Democratic                                   
1947;White;1945;1953;Harry S. Truman       ;Democratic                                   
1947;White;1945;1953;Harry S. Truman       ;Democratic                                   
1947;White;1945;1953;Harry S. Truman       ;Democratic                                   
1947;White;1945;1953;Harry S. Truman       ;Democratic                                   
1947;White;1945;1953;Harry S. Truman       ;Democratic                                   
1947;White;1945;1953;Harry S. Truman       ;Democratic                                   
1947;White;1945;1953;Harry S. Truman       ;Democratic                                   
1948;White;1945;1953;Harry S. Truman       ;Democratic                                   
1948;White;1945;1953;Harry S. Truman       ;Democratic                                   
1948;White;1945;1953;Harry S. Truman       ;Democratic                                   
1948;White;1945;1953;Harry S. Truman       ;Democratic                                   
1948;White;1945;1953;Harry S. Truman       ;Democratic                                   
1948;White;1945;1953;Harry S. Truman       ;Democratic                                   
1948;White;1945;1953;Harry S. Truman       ;Democratic                                   
1948;Hispa;1945;1953;Harry S. Truman       ;Democratic                                   
1948;White;1945;1953;Harry S. Truman       ;Democratic                                   
1948;White;1945;1953;Harry S. Truman       ;Democratic                                   
1948;White;1945;1953;Harry S. Truman       ;Democratic                                   
1948;White;1945;1953;Harry S. Truman       ;Democratic                                   
1948;White;1945;1953;Harry S. Truman       ;Democratic                                   
1948;White;1945;1953;Harry S. Truman       ;Democratic                                   
1948;White;1945;1953;Harry S. Truman       ;Democratic                                   
1948;White;1945;1953;Harry S. Truman       ;Democratic                                   
1948;White;1945;1953;Harry S. Truman       ;Democratic                                   
1948;White;1945;1953;Harry S. Truman       ;Democratic                                   
1948;White;1945;1953;Harry S. Truman       ;Democratic                                   
1948;White;1945;1953;Harry S. Truman       ;Democratic                                   
1948;White;1945;1953;Harry S. Truman       ;Democratic                                   
1948;White;1945;1953;Harry S. Truman       ;Democratic                                   
1948;White;1945;1953;Harry S. Truman       ;Democratic                                   
1948;White;1945;1953;Harry S. Truman       ;Democratic                                   
1948;White;1945;1953;Harry S. Truman       ;Democratic                                   
1949;White;1945;1953;Harry S. Truman       ;Democratic                                   
1949;White;1945;1953;Harry S. Truman       ;Democratic                                   
1949;White;1945;1953;Harry S. Truman       ;Democratic                                   
1949;White;1945;1953;Harry S. Truman       ;Democratic                                   
1949;White;1945;1953;Harry S. Truman       ;Democratic                                   
1949;White;1945;1953;Harry S. Truman       ;Democratic                                   
1949;White;1945;1953;Harry S. Truman       ;Democratic                                   
1949;White;1945;1953;Harry S. Truman       ;Democratic                                   
1949;White;1945;1953;Harry S. Truman       ;Democratic                                   
1949;White;1945;1953;Harry S. Truman       ;Democratic                                   
1949;White;1945;1953;Harry S. Truman       ;Democratic                                   
1949;White;1945;1953;Harry S. Truman       ;Democratic                                   
1949;White;1945;1953;Harry S. Truman       ;Democratic                                   
1949;White;1945;1953;Harry S. Truman       ;Democratic                                   
1949;White;1945;1953;Harry S. Truman       ;Democratic                                   
