Year;Award;Winner;Name;Ethnicity;Gender;Birthplace
1973;Directing                   ;;William Friedkin                                          ;White;M;
1974;Directing                   ;;Bob Fosse                                                 ;White;M;
1974;Directing                   ;1;Francis Ford Coppola                                      ;White;M;
1974;Directing                   ;;Francois Truffaut                                         ;White;M;
1974;Directing                   ;;John Cassavetes                                           ;White;M;
1974;Directing                   ;;Roman Polanski                                            ;White;M;
1975;Directing                   ;;Federico Fellini                                          ;White;M;
1975;Directing                   ;1;Milos Forman                                              ;White;M;
1975;Directing                   ;;Robert Altman                                             ;White;M;
1975;Directing                   ;;Sidney Lumet                                              ;White;M;
1975;Directing                   ;;Stanley Kubrick                                           ;White;M;
1976;Directing                   ;;Alan J. Pakula                                            ;White;M;
1976;Directing                   ;;Ingmar Bergman                                            ;White;M;
1976;Directing                   ;1;John G. Avildsen                                          ;White;M;
1976;Directing                   ;;Lina Wertmüller                                          ;White;W;
1976;Directing                   ;;Sidney Lumet                                              ;White;M;
1977;Directing                   ;;Fred Zinnemann                                            ;White;M;
1977;Directing                   ;;George Lucas                                              ;White;M;
1977;Directing                   ;;Herbert Ross                                              ;White;M;
1977;Directing                   ;;Steven Spielberg                                          ;White;M;
1977;Directing                   ;1;Woody Allen                                               ;White;M;USA      
1978;Directing                   ;;Alan Parker                                               ;White;M;
1978;Directing                   ;;Buck Henry                                                ;White;M;
1978;Directing                   ;;Hal Ashby                                                 ;White;M;
1978;Directing                   ;1;Michael Cimino                                            ;White;M;
1978;Directing                   ;;Warren Beatty                                             ;White;M;
1978;Directing                   ;;Woody Allen                                               ;White;M;USA      
1979;Directing                   ;;Bob Fosse                                                 ;White;M;
1979;Directing                   ;;Edouard Molinaro                                          ;White;M;
1979;Directing                   ;;Francis Ford Coppola                                      ;White;M;
1979;Directing                   ;;Peter Yates                                               ;White;M;
1979;Directing                   ;1;Robert Benton                                             ;White;M;
1980;Directing                   ;;David Lynch                                               ;White;M;
1980;Directing                   ;;Martin Scorsese                                           ;White;M;
1980;Directing                   ;;Richard Rush                                              ;White;M;
1980;Directing                   ;1;Robert Redford                                            ;White;M;
1980;Directing                   ;;Roman Polanski                                            ;White;M;
1981;Directing                   ;;Hugh Hudson                                               ;White;M;
1981;Directing                   ;;Louis Malle                                               ;White;M;
1981;Directing                   ;;Mark Rydell                                               ;White;M;
1981;Directing                   ;;Steven Spielberg                                          ;White;M;
1981;Directing                   ;1;Warren Beatty                                             ;White;M;
1982;Directing                   ;1;Richard Attenborough                                     W;;M;
1982;Directing                   ;;Sidney Lumet                                              ;White;M;
1982;Directing                   ;;Steven Spielberg                                          ;White;M;
1982;Directing                   ;;Sydney Pollack                                            ;White;M;
1982;Directing                   ;;Wolfgang Petersen                         w               ;White;M;
1983;Directing                   ;;Bruce Beresford                                           ;White;M;
1983;Directing                   ;;Ingmar Bergman                                            ;White;M;
1983;Directing                   ;1;James L. Brooks                                           ;White;M;
1983;Directing                   ;;Mike Nichols                                              ;White;M;Germany  
1983;Directing                   ;;Peter Yates                                               ;White;M;
1984;Directing                   ;;David Lean                                                ;White;M;
1984;Directing                   ;1;Milos Forman                                              ;White;M;
1984;Directing                   ;;Robert Benton                                             ;White;M;
1984;Directing                   ;;Roland Joffé                                             ;White;M;
1984;Directing                   ;;Woody Allen                                               ;White;M;USA      
1985;Directing                   ;;Akira Kurosawa                                            ;Asian;M;
1985;Directing                   ;;Hector Babenco                                            ;Hispa;M;
1985;Directing                   ;;John Huston                                               ;White;M;
1985;Directing                   ;;Peter Weir                                                ;White;M;
1985;Directing                   ;1;Sydney Pollack                                            ;White;M;
1986;Directing                   ;;David Lynch                                               ;White;M;
1986;Directing                   ;;James Ivory                                               ;White;M;
1986;Directing                   ;1;Oliver Stone                                              ;White;M;
1986;Directing                   ;;Roland Joffé                                             ;White;M;
1986;Directing                   ;;Woody Allen                                               ;White;M;USA      
1987;Directing                   ;;Adrian Lyne                                               ;White;M;
1987;Directing                   ;1;Bernardo Bertolucci                                       ;White;M;
1987;Directing                   ;;John Boorman                                              ;White;M;
1987;Directing                   ;;Lasse Hallström                                          ;White;M;
1987;Directing                   ;;Norman Jewison                                            ;White;M;
1988;Directing                   ;;Alan Parker                                               ;White;M;
1988;Directing                   ;1;Barry Levinson                                            ;White;M;
1988;Directing                   ;;Charles Crichton                                          ;White;M;
1988;Directing                   ;;Martin Scorsese                                           ;White;M;
1988;Directing                   ;;Mike Nichols                                              ;White;M;Germany  
1989;Directing                   ;;Jim Sheridan                                              ;White;M;
1989;Directing                   ;;Kenneth Branagh                                           ;White;M;
1989;Directing                   ;1;Oliver Stone                                              ;White;M;
1989;Directing                   ;;Peter Weir                                                ;White;M;
1989;Directing                   ;;Woody Allen                                               ;White;M;USA      
1990;Directing                   ;;Barbet Schroeder                                          ;Arab ;M;
1990;Directing                   ;;Francis Ford Coppola                                      ;White;M;
1990;Directing                   ;1;Kevin Costner                                             ;White;M;
1990;Directing                   ;;Martin Scorsese                                           ;White;M;
1990;Directing                   ;;Stephen Frears                                            ;White;M;
1991;Directing                   ;;Barry Levinson                                            ;White;M;
1991;Directing                   ;;John Singleton                                            ;Black;M;
1991;Directing                   ;1;Jonathan Demme                                            ;White;M;
1991;Directing                   ;;Oliver Stone                                              ;White;M;
1991;Directing                   ;;Ridley Scott                                              ;White;M;
1992;Directing                   ;1;Clint Eastwood                                            ;White;M;
1992;Directing                   ;;James Ivory                                               ;White;M;
1992;Directing                   ;;Martin Brest                                              ;White;M;
1992;Directing                   ;;Neil Jordan                                               ;Irish;M;
1992;Directing                   ;;Robert Altman                                             ;White;M;
1993;Directing                   ;;James Ivory                                               ;White;M;
1993;Directing                   ;;Jane Campion                                              ;White;W;
1993;Directing                   ;;Jim Sheridan                                              ;White;M;
1993;Directing                   ;;Robert Altman                                             ;White;M;
1993;Directing                   ;1;Steven Spielberg                                          ;White;M;
1994;Directing                   ;;Krzysztof Kieslowski                                      ;White;M;Poland   
1994;Directing                   ;;Quentin Tarantino                                         ;White;M;
1994;Directing                   ;;Robert Redford                                            ;White;M;
1994;Directing                   ;1;Robert Zemeckis                                           ;White;M;USA      
1994;Directing                   ;;Woody Allen                                               ;White;M;USA      
1995;Directing                   ;;Chris Noonan                                              ;White;M;
1995;Directing                   ;1;Mel Gibson                                                ;White;M;
1995;Directing                   ;;Michael Radford                                           ;White;M;
1995;Directing                   ;;Mike Figgis                                               ;White;M;
1995;Directing                   ;;Tim Robbins                                               ;White;M;USA      
1996;Directing                   ;1;Anthony Minghella                                         ;White;M;
1996;Directing                   ;;Joel Coen                                                 ;White;M;
1996;Directing                   ;;Mike Leigh                                                ;White;M;
1996;Directing                   ;;Milos Forman                                              ;White;M;
1996;Directing                   ;;Scott Hicks                                               ;White;M;Uganda   
1997;Directing                   ;;Atom Egoyan                                               ;Arab ;M;
1997;Directing                   ;;Curtis Hanson                                             ;White;M;
1997;Directing                   ;;Gus Van Sant                                              ;White;M;
1997;Directing                   ;1;James Cameron                                             ;White;M;
1997;Directing                   ;;Peter Cattaneo                                            ;White;M;England  
1998;Directing                   ;;John Madden                                               ;White;M;
1998;Directing                   ;;Peter Weir                                                ;White;M;
1998;Directing                   ;;Roberto Benigni                                           ;White;M;italy    
1998;Directing                   ;1;Steven Spielberg                                          ;White;M;
1998;Directing                   ;;Terrence Malick                                           ;White;M;
1999;Directing                   ;;Lasse Hallström                                          ;White;M;
1999;Directing                   ;;M. Night Shyamalan                                        ;Indo ;M;
1999;Directing                   ;;Michael Mann                                              ;White;M;
1999;Directing                   ;1;Sam Mendes                                                ;White;M;England  
1999;Directing                   ;;Spike Jonze                                               ;White;M;
2000;Directing                   ;;Ang Lee                                                   ;Asian;M;
2000;Directing                   ;;Ridley Scott                                              ;White;M;
2000;Directing                   ;;Stephen Daldry                                            ;White;M;
2000;Directing                   ;;Steven Soderbergh                                         ;White;M;
2000;Directing                   ;1;Steven Soderbergh                                         ;White;M;
2001;Directing                   ;;David Lynch                                               ;White;M;
2001;Directing                   ;;Peter Jackson                                             ;White;M;
2001;Directing                   ;;Ridley Scott                                              ;White;M;
2001;Directing                   ;;Robert Altman                                             ;White;M;
2001;Directing                   ;1;Ron Howard                                                ;White;M;
2002;Directing                   ;;Martin Scorsese                                           ;White;M;
2002;Directing                   ;;Pedro Almodóvar                                          ;White;M;Spain    
2002;Directing                   ;;Rob Marshall                                              ;White;M;USA      
2002;Directing                   ;1;Roman Polanski                                            ;White;M;
2002;Directing                   ;;Stephen Daldry                                            ;White;M;
2003;Directing                   ;;Clint Eastwood                                            ;White;M;
2003;Directing                   ;;Fernando Meirelles                                        ;White;M;
2003;Directing                   ;1;Peter Jackson                                             ;White;M;
2003;Directing                   ;;Peter Weir                                                ;White;M;
2003;Directing                   ;;Sofia Coppola                                             ;White;W;
2004;Directing                   ;;Alexander Payne                                           ;White;M;
2004;Directing                   ;1;Clint Eastwood                                            ;White;M;
2004;Directing                   ;;Martin Scorsese                                           ;White;M;
2004;Directing                   ;;Mike Leigh                                                ;White;M;
2004;Directing                   ;;Taylor Hackford                                           ;White;M;USA      
2005;Directing                   ;1;Ang Lee                                                   ;Asian;M;
2005;Directing                   ;;Bennett Miller                                            ;White;M;
2005;Directing                   ;;George Clooney                                            ;White;M;
2005;Directing                   ;;Paul Haggis                                               ;White;M;Canada   
2005;Directing                   ;;Steven Spielberg                                          ;White;M;
2006;Directing                   ;;Alejandro González Iñárritu                            ;White;M;
2006;Directing                   ;;Clint Eastwood                                            ;White;M;
2006;Directing                   ;1;Martin Scorsese                                           ;White;M;
2006;Directing                   ;;Paul Greengrass                                           ;White;M;
2006;Directing                   ;;Stephen Frears                                            ;White;M;
2007;Directing                   ;;Jason Reitman                                             ;White;M;
2007;Directing                   ;1;Joel Coen and Ethan Coen                                  ;White;M;
2007;Directing                   ;;Julian Schnabel                                           ;White;M;
2007;Directing                   ;;Paul Thomas Anderson                                      ;White;M;USA      
2007;Directing                   ;;Tony Gilroy                                               ;White;M;USA      
2008;Directing                   ;1;Danny Boyle                                               ;White;M;
2008;Directing                   ;;David Fincher                                             ;White;M;
2008;Directing                   ;;Gus Van Sant                                              ;White;M;
2008;Directing                   ;;Ron Howard                                                ;White;M;
2008;Directing                   ;;Stephen Daldry                                            ;White;M;
2009;Directing                   ;;James Cameron                                             ;White;M;
2009;Directing                   ;;Jason Reitman                                             ;White;M;
2009;Directing                   ;1;Kathryn Bigelow                                           ;White;W;
2009;Directing                   ;;Lee Daniels                                               ;Black;M;
2009;Directing                   ;;Quentin Tarantino                                         ;White;M;
2010;Directing                   ;;Darren Aronofsky                                          ;White;M;
2010;Directing                   ;;David Fincher                                             ;White;M;
2010;Directing                   ;;David O. Russell                                          ;White;M;
2010;Directing                   ;;Joel Coen and Ethan Coen                                  ;White;M;
2010;Directing                   ;1;Tom Hooper                                                ;White;M;England  
2011;Directing                   ;;Alexander Payne                                           ;White;M;
2011;Directing                   ;;Martin Scorsese                                           ;White;M;
2011;Directing                   ;1;Michel Hazanavicius                                       ;White;M;
2011;Directing                   ;;Terrence Malick                                           ;White;M;
2011;Directing                   ;;Woody Allen                                               ;White;M;USA      
2012;Directing                   ;1;Ang Lee                                                   ;Asian;M;
2012;Directing                   ;;Benh Zeitlin                                              ;White;M;
2012;Directing                   ;;David O. Russell                                          ;White;M;
2012;Directing                   ;;Michael Haneke                                            ;White;M;
2012;Directing                   ;;Steven Spielberg                                          ;White;M;
2013;Directing                   ;;Alexander Payne                                           ;White;M;
