Year;Award;Name;race_ethnicity
1946;Actor                       ;Gregory Peck                   ;White
1946;Actor                       ;James Stewart                  ;White
1946;Actor                       ;Larry Parks                    ;White
1946;Actor                       ;Laurence Olivier               ;White
1946;Actor in a Supporting Role  ;Charles Coburn                 ;White
1946;Actor in a Supporting Role  ;Claude Rains                   ;White
1946;Actor in a Supporting Role  ;Clifton Webb                   ;White
1946;Actor in a Supporting Role  ;Harold Russell                 ;White
1946;Actor in a Supporting Role  ;William Demarest               ;White
1946;Actress                     ;Celia Johnson                  ;White
1946;Actress                     ;Jane Wyman                     ;White
1946;Actress                     ;Jennifer Jones                 ;White
1946;Actress                     ;Olivia de Havilland            ;White
1946;Actress                     ;Rosalind Russell               ;White
1946;Actress in a Supporting Role;Anne Baxter                    ;White
1946;Actress in a Supporting Role;Ethel Barrymore                ;White
1946;Actress in a Supporting Role;Flora Robson                   ;White
1946;Actress in a Supporting Role;Gale Sondergaard               ;White
1946;Actress in a Supporting Role;Lillian Gish                   ;White
1946;Directing                   ;Clarence Brown                 ;White
1946;Directing                   ;David Lean                     ;White
1946;Directing                   ;Frank Capra                    ;White
1946;Directing                   ;Robert Siodmak                 ;White
1946;Directing                   ;William Wyler                  ;White
1947;Actor                       ;Gregory Peck                   ;White
1947;Actor                       ;John Garfield                  ;White
1947;Actor                       ;Michael Redgrave               ;White
1947;Actor                       ;Ronald Colman                  ;White
1947;Actor                       ;William Powell                 ;White
1947;Actor in a Supporting Role  ;Charles Bickford               ;White
1947;Actor in a Supporting Role  ;Edmund Gwenn                   ;White
1947;Actor in a Supporting Role  ;Richard Widmark                ;White
1947;Actor in a Supporting Role  ;Robert Ryan                    ;White
1947;Actor in a Supporting Role  ;Thomas Gomez                   ;White
1947;Actress                     ;Dorothy McGuire                ;White
1947;Actress                     ;Joan Crawford                  ;White
1947;Actress                     ;Loretta Young                  ;White
1947;Actress                     ;Rosalind Russell               ;White
1947;Actress                     ;Susan Hayward                  ;White
1947;Actress in a Supporting Role;Anne Revere                    ;White
