Year;Award;Name;race_ethnicity
1975;Directing                   ;Sidney Lumet                   ;White
1975;Directing                   ;Stanley Kubrick                ;White
1976;Actor in a Leading Role     ;Robert De Niro                 ;White
1976;Actor in a Leading Role     ;Peter Finch                    ;White
1976;Actor in a Leading Role     ;Giancarlo Giannini             ;White
1976;Actor in a Leading Role     ;William Holden                 ;White
1976;Actor in a Leading Role     ;Sylvester Stallone             ;White
1976;Actor in a Supporting Role  ;Ned Beatty                     ;White
1976;Actor in a Supporting Role  ;Burgess Meredith               ;White
1976;Actor in a Supporting Role  ;Laurence Olivier               ;White
1976;Actor in a Supporting Role  ;Jason Robards                  ;White
1976;Actor in a Supporting Role  ;Burt Young                     ;White
1976;Actress in a Leading Role   ;Marie-Christine Barrault       ;White
1976;Actress in a Leading Role   ;Faye Dunaway                   ;White
1976;Actress in a Leading Role   ;Talia Shire                    ;White
1976;Actress in a Leading Role   ;Sissy Spacek                   ;White
1976;Actress in a Leading Role   ;Liv Ullmann                    ;White
1976;Actress in a Supporting Role;Jane Alexander                 ;White
1976;Actress in a Supporting Role;Jodie Foster                   ;White
1976;Actress in a Supporting Role;Lee Grant                      ;White
1976;Actress in a Supporting Role;Piper Laurie                   ;White
1976;Actress in a Supporting Role;Beatrice Straight              ;White
1976;Directing                   ;Alan J. Pakula                 ;White
1976;Directing                   ;Ingmar Bergman                 ;White
1976;Directing                   ;John G. Avildsen               ;White
1976;Directing                   ;Lina Wertmüller               ;White
1976;Directing                   ;Sidney Lumet                   ;White
1977;Actor in a Leading Role     ;Woody Allen                    ;White
1977;Actor in a Leading Role     ;Richard Burton                 ;White
1977;Actor in a Leading Role     ;Richard Dreyfuss               ;White
1977;Actor in a Leading Role     ;Marcello Mastroianni           ;White
1977;Actor in a Leading Role     ;John Travolta                  ;White
1977;Actor in a Supporting Role  ;Mikhail Baryshnikov            ;White
1977;Actor in a Supporting Role  ;Peter Firth                    ;White
1977;Actor in a Supporting Role  ;Alec Guinness                  ;White
1977;Actor in a Supporting Role  ;Jason Robards                  ;White
1977;Actor in a Supporting Role  ;Maximilian Schell              ;White
1977;Actress in a Leading Role   ;Anne Bancroft                  ;White
1977;Actress in a Leading Role   ;Jane Fonda                     ;White
1977;Actress in a Leading Role   ;Diane Keaton                   ;White
1977;Actress in a Leading Role   ;Shirley MacLaine               ;White
1977;Actress in a Leading Role   ;Marsha Mason                   ;White
1977;Actress in a Supporting Role;Leslie Browne                  ;White
1977;Actress in a Supporting Role;Quinn Cummings                 ;White
1977;Actress in a Supporting Role;Melinda Dillon                 ;White
1977;Actress in a Supporting Role;Vanessa Redgrave               ;White
1977;Actress in a Supporting Role;Tuesday Weld                   ;White
1977;Directing                   ;Fred Zinnemann                 ;White
1977;Directing                   ;George Lucas                   ;White
1977;Directing                   ;Herbert Ross                   ;White
1977;Directing                   ;Steven Spielberg               ;White
1977;Directing                   ;Woody Allen                    ;White
1978;Actor in a Leading Role     ;Warren Beatty                  ;White
1978;Actor in a Leading Role     ;Gary Busey                     ;White
1978;Actor in a Leading Role     ;Robert De Niro                 ;White
1978;Actor in a Leading Role     ;Laurence Olivier               ;White
1978;Actor in a Leading Role     ;Jon Voight                     ;White
1978;Actor in a Supporting Role  ;Bruce Dern                     ;White
1978;Actor in a Supporting Role  ;Richard Farnsworth             ;White
1978;Actor in a Supporting Role  ;John Hurt                      ;White
1978;Actor in a Supporting Role  ;Christopher Walken             ;White
1978;Actor in a Supporting Role  ;Jack Warden                    ;White
1978;Actress in a Leading Role   ;Ingrid Bergman                 ;White
1978;Actress in a Leading Role   ;Ellen Burstyn                  ;White
1978;Actress in a Leading Role   ;Jill Clayburgh                 ;White
1978;Actress in a Leading Role   ;Jane Fonda                     ;White
1978;Actress in a Leading Role   ;Geraldine Page                 ;White
1978;Actress in a Supporting Role;Dyan Cannon                    ;White
1978;Actress in a Supporting Role;Penelope Milford               ;White
1978;Actress in a Supporting Role;Maggie Smith                   ;White
1978;Actress in a Supporting Role;Maureen Stapleton              ;White
1978;Actress in a Supporting Role;Meryl Streep                   ;White
1978;Directing                   ;Alan Parker                    ;White
1978;Directing                   ;Buck Henry                     ;White
1978;Directing                   ;Hal Ashby                      ;White
1978;Directing                   ;Michael Cimino                 ;White
1978;Directing                   ;Warren Beatty                  ;White
1978;Directing                   ;Woody Allen                    ;White
1979;Actor in a Leading Role     ;Dustin Hoffman                 ;White
1979;Actor in a Leading Role     ;Jack Lemmon                    ;White
1979;Actor in a Leading Role     ;Al Pacino                      ;White
1979;Actor in a Leading Role     ;Roy Scheider                   ;White
1979;Actor in a Leading Role     ;Peter Sellers                  ;White
1979;Actor in a Supporting Role  ;Melvyn Douglas                 ;White
1979;Actor in a Supporting Role  ;Robert Duvall                  ;White
1979;Actor in a Supporting Role  ;Frederic Forrest               ;White
1979;Actor in a Supporting Role  ;Justin Henry                   ;White
1979;Actor in a Supporting Role  ;Mickey Rooney                  ;White
1979;Actress in a Leading Role   ;Jill Clayburgh                 ;White
1979;Actress in a Leading Role   ;Sally Field                    ;White
1979;Actress in a Leading Role   ;Jane Fonda                     ;White
1979;Actress in a Leading Role   ;Marsha Mason                   ;White
1979;Actress in a Leading Role   ;Bette Midler                   ;White
1979;Actress in a Supporting Role;Jane Alexander                 ;White
1979;Actress in a Supporting Role;Barbara Barrie                 ;White
1979;Actress in a Supporting Role;Candice Bergen                 ;White
1979;Actress in a Supporting Role;Mariel Hemingway               ;White
1979;Actress in a Supporting Role;Meryl Streep                   ;White
1979;Directing                   ;Bob Fosse                      ;White
1979;Directing                   ;Edouard Molinaro               ;White
1979;Directing                   ;Francis Ford Coppola           ;White
1979;Directing                   ;Peter Yates                    ;White
1979;Directing                   ;Robert Benton                  ;White
1980;Actor in a Leading Role     ;Robert De Niro                 ;White
1980;Actor in a Leading Role     ;Robert Duvall                  ;White
1980;Actor in a Leading Role     ;John Hurt                      ;White
1980;Actor in a Leading Role     ;Jack Lemmon                    ;White
1980;Actor in a Leading Role     ;Peter O'Toole                  ;White
1980;Actor in a Supporting Role  ;Judd Hirsch                    ;White
1980;Actor in a Supporting Role  ;Timothy Hutton                 ;White
1980;Actor in a Supporting Role  ;Michael O'Keefe                ;White
1980;Actor in a Supporting Role  ;Joe Pesci                      ;White
1980;Actor in a Supporting Role  ;Jason Robards                  ;White
1980;Actress in a Leading Role   ;Ellen Burstyn                  ;White
1980;Actress in a Leading Role   ;Goldie Hawn                    ;White
1980;Actress in a Leading Role   ;Mary Tyler Moore               ;White
1980;Actress in a Leading Role   ;Gena Rowlands                  ;White
1980;Actress in a Leading Role   ;Sissy Spacek                   ;White
1980;Actress in a Supporting Role;Eileen Brennan                 ;White
1980;Actress in a Supporting Role;Eva Le Gallienne               ;White
1980;Actress in a Supporting Role;Cathy Moriarty                 ;White
1980;Actress in a Supporting Role;Diana Scarwid                  ;White
1980;Actress in a Supporting Role;Mary Steenburgen               ;White
1980;Directing                   ;David Lynch                    ;White
1980;Directing                   ;Martin Scorsese                ;White
1980;Directing                   ;Richard Rush                   ;White
1980;Directing                   ;Robert Redford                 ;White
1980;Directing                   ;Roman Polanski                 ;White
1981;Actor in a Leading Role     ;Warren Beatty                  ;White
1981;Actor in a Leading Role     ;Henry Fonda                    ;White
1981;Actor in a Leading Role     ;Burt Lancaster                 ;White
1981;Actor in a Leading Role     ;Dudley Moore                   ;White
1981;Actor in a Leading Role     ;Paul Newman                    ;White
1981;Actor in a Supporting Role  ;James Coco                     ;White
1981;Actor in a Supporting Role  ;John Gielgud                   ;White
1981;Actor in a Supporting Role  ;Ian Holm                       ;White
1981;Actor in a Supporting Role  ;Jack Nicholson                 ;White
1981;Actor in a Supporting Role  ;Howard E. Rollins              ;Black
1981;Actress in a Leading Role   ;Katharine Hepburn              ;White
1981;Actress in a Leading Role   ;Diane Keaton                   ;White
1981;Actress in a Leading Role   ;Marsha Mason                   ;White
1981;Actress in a Leading Role   ;Susan Sarandon                 ;White
1981;Actress in a Leading Role   ;Meryl Streep                   ;White
1981;Actress in a Supporting Role;Melinda Dillon                 ;White
1981;Actress in a Supporting Role;Jane Fonda                     ;White
1981;Actress in a Supporting Role;Joan Hackett                   ;White
1981;Actress in a Supporting Role;Elizabeth McGovern             ;White
1981;Actress in a Supporting Role;Maureen Stapleton              ;White
1981;Directing                   ;Hugh Hudson                    ;White
1981;Directing                   ;Louis Malle                    ;White
1981;Directing                   ;Mark Rydell                    ;White
1981;Directing                   ;Steven Spielberg               ;White
1981;Directing                   ;Warren Beatty                  ;White
1982;Actor in a Leading Role     ;Dustin Hoffman                 ;White
1982;Actor in a Leading Role     ;Ben Kingsley                   ;Asian
1982;Actor in a Leading Role     ;Jack Lemmon                    ;White
1982;Actor in a Leading Role     ;Paul Newman                    ;White
1982;Actor in a Leading Role     ;Peter O'Toole                  ;White
1982;Actor in a Supporting Role  ;Charles Durning                ;White
1982;Actor in a Supporting Role  ;Louis Gossett                  ;Black
1982;Actor in a Supporting Role  ;John Lithgow                   ;White
1982;Actor in a Supporting Role  ;James Mason                    ;White
1982;Actor in a Supporting Role  ;Robert Preston                 ;White
1982;Actress in a Leading Role   ;Julie Andrews                  ;White
1982;Actress in a Leading Role   ;Jessica Lange                  ;White
1982;Actress in a Leading Role   ;Sissy Spacek                   ;White
1982;Actress in a Leading Role   ;Meryl Streep                   ;White
1982;Actress in a Leading Role   ;Debra Winger                   ;White
1982;Actress in a Supporting Role;Glenn Close                    ;White
1982;Actress in a Supporting Role;Teri Garr                      ;White
1982;Actress in a Supporting Role;Jessica Lange                  ;White
1982;Actress in a Supporting Role;Kim Stanley                    ;White
1982;Actress in a Supporting Role;Lesley Ann Warren              ;White
1982;Directing                   ;Richard Attenborough           ;White
1982;Directing                   ;Sidney Lumet                   ;White
1982;Directing                   ;Steven Spielberg               ;White
1982;Directing                   ;Sydney Pollack                 ;White
1982;Directing                   ;Wolfgang Petersen              ;White
1983;Actor in a Leading Role     ;Michael Caine                  ;White
1983;Actor in a Leading Role     ;Tom Conti                      ;White
1983;Actor in a Leading Role     ;Tom Courtenay                  ;White
1983;Actor in a Leading Role     ;Robert Duvall                  ;White
1983;Actor in a Leading Role     ;Albert Finney                  ;White
1983;Actor in a Supporting Role  ;Charles Durning                ;White
1983;Actor in a Supporting Role  ;John Lithgow                   ;White
1983;Actor in a Supporting Role  ;Jack Nicholson                 ;White
1983;Actor in a Supporting Role  ;Sam Shepard                    ;White
1983;Actor in a Supporting Role  ;Rip Torn                       ;White
1983;Actress in a Leading Role   ;Jane Alexander                 ;White
1983;Actress in a Leading Role   ;Shirley MacLaine               ;White
1983;Actress in a Leading Role   ;Meryl Streep                   ;White
1983;Actress in a Leading Role   ;Julie Walters                  ;White
1983;Actress in a Leading Role   ;Debra Winger                   ;White
1983;Actress in a Supporting Role;Cher                           ;White
1983;Actress in a Supporting Role;Glenn Close                    ;White
1983;Actress in a Supporting Role;Linda Hunt                     ;White
1983;Actress in a Supporting Role;Amy Irving                     ;White
1983;Actress in a Supporting Role;Alfre Woodard                  ;Black
1983;Directing                   ;Bruce Beresford                ;White
1983;Directing                   ;Ingmar Bergman                 ;White
1983;Directing                   ;James L. Brooks                ;White
1983;Directing                   ;Mike Nichols                   ;White
1983;Directing                   ;Peter Yates                    ;White
1984;Actor in a Leading Role     ;F. Murray Abraham              ;White
1984;Actor in a Leading Role     ;Jeff Bridges                   ;White
1984;Actor in a Leading Role     ;Albert Finney                  ;White
1984;Actor in a Leading Role     ;Tom Hulce                      ;White
1984;Actor in a Leading Role     ;Sam Waterston                  ;White
1984;Actor in a Supporting Role  ;Adolph Caesar                  ;Black
1984;Actor in a Supporting Role  ;John Malkovich                 ;White
1984;Actor in a Supporting Role  ;Noriyuki 'Pat' Morita          ;Asian
1984;Actor in a Supporting Role  ;Haing S. Ngor                  ;Asian
1984;Actor in a Supporting Role  ;Ralph Richardson               ;White
1984;Actress in a Leading Role   ;Judy Davis                     ;White
1984;Actress in a Leading Role   ;Sally Field                    ;White
1984;Actress in a Leading Role   ;Jessica Lange                  ;White
1984;Actress in a Leading Role   ;Vanessa Redgrave               ;White
1984;Actress in a Leading Role   ;Sissy Spacek                   ;White
1984;Actress in a Supporting Role;Peggy Ashcroft                 ;White
1984;Actress in a Supporting Role;Glenn Close                    ;White
1984;Actress in a Supporting Role;Lindsay Crouse                 ;White
1984;Actress in a Supporting Role;Christine Lahti                ;White
1984;Actress in a Supporting Role;Geraldine Page                 ;White
1984;Directing                   ;David Lean                     ;White
1984;Directing                   ;Milos Forman                   ;White
1984;Directing                   ;Robert Benton                  ;White
1984;Directing                   ;Roland Joffé                  ;White
1984;Directing                   ;Woody Allen                    ;White
1985;Actor in a Leading Role     ;Harrison Ford                  ;White
1985;Actor in a Leading Role     ;James Garner                   ;White
1985;Actor in a Leading Role     ;William Hurt                   ;White
1985;Actor in a Leading Role     ;Jack Nicholson                 ;White
1985;Actor in a Leading Role     ;Jon Voight                     ;White
1985;Actor in a Supporting Role  ;Don Ameche                     ;White
1985;Actor in a Supporting Role  ;Klaus Maria Brandauer          ;White
1985;Actor in a Supporting Role  ;William Hickey                 ;White
1985;Actor in a Supporting Role  ;Robert Loggia                  ;White
1985;Actor in a Supporting Role  ;Eric Roberts                   ;White
1985;Actress in a Leading Role   ;Anne Bancroft                  ;White
1985;Actress in a Leading Role   ;Whoopi Goldberg                ;Black
1985;Actress in a Leading Role   ;Jessica Lange                  ;White
1985;Actress in a Leading Role   ;Geraldine Page                 ;White
1985;Actress in a Leading Role   ;Meryl Streep                   ;White
1985;Actress in a Supporting Role;Margaret Avery                 ;Black
1985;Actress in a Supporting Role;Anjelica Huston                ;White
1985;Actress in a Supporting Role;Amy Madigan                    ;White
1985;Actress in a Supporting Role;Meg Tilly                      ;Asian
1985;Actress in a Supporting Role;Oprah Winfrey                  ;Black
1985;Directing                   ;Akira Kurosawa                 ;Asian
1985;Directing                   ;Hector Babenco                 ;Hispa
1985;Directing                   ;John Huston                    ;White
1985;Directing                   ;Peter Weir                     ;White
1985;Directing                   ;Sydney Pollack                 ;White
1986;Actor in a Leading Role     ;Dexter Gordon                  ;Black
1986;Actor in a Leading Role     ;Bob Hoskins                    ;White
1986;Actor in a Leading Role     ;William Hurt                   ;White
1986;Actor in a Leading Role     ;Paul Newman                    ;White
1986;Actor in a Leading Role     ;James Woods                    ;White
1986;Actor in a Supporting Role  ;Tom Berenger                   ;White
1986;Actor in a Supporting Role  ;Michael Caine                  ;White
1986;Actor in a Supporting Role  ;Willem Dafoe                   ;White
1986;Actor in a Supporting Role  ;Denholm Elliott                ;White
1986;Actor in a Supporting Role  ;Dennis Hopper                  ;White
1986;Actress in a Leading Role   ;Jane Fonda                     ;White
1986;Actress in a Leading Role   ;Marlee Matlin                  ;White
1986;Actress in a Leading Role   ;Sissy Spacek                   ;White
1986;Actress in a Leading Role   ;Kathleen Turner                ;White
1986;Actress in a Leading Role   ;Sigourney Weaver               ;White
1986;Actress in a Supporting Role;Tess Harper                    ;White
1986;Actress in a Supporting Role;Piper Laurie                   ;White
1986;Actress in a Supporting Role;Mary Elizabeth Mastrantonio    ;White
1986;Actress in a Supporting Role;Maggie Smith                   ;White
1986;Actress in a Supporting Role;Dianne Wiest                   ;White
1986;Directing                   ;David Lynch                    ;White
1986;Directing                   ;James Ivory                    ;White
1986;Directing                   ;Oliver Stone                   ;White
1986;Directing                   ;Roland Joffé                  ;White
1986;Directing                   ;Woody Allen                    ;White
1987;Actor in a Leading Role     ;Michael Douglas                ;White
1987;Actor in a Leading Role     ;William Hurt                   ;White
1987;Actor in a Leading Role     ;Marcello Mastroianni           ;White
1987;Actor in a Leading Role     ;Jack Nicholson                 ;White
1987;Actor in a Leading Role     ;Robin Williams                 ;White
1987;Actor in a Supporting Role  ;Albert Brooks                  ;White
1987;Actor in a Supporting Role  ;Sean Connery                   ;White
1987;Actor in a Supporting Role  ;Morgan Freeman                 ;Black
1987;Actor in a Supporting Role  ;Vincent Gardenia               ;White
1987;Actor in a Supporting Role  ;Denzel Washington              ;Black
1987;Actress in a Leading Role   ;Cher                           ;White
1987;Actress in a Leading Role   ;Glenn Close                    ;White
1987;Actress in a Leading Role   ;Holly Hunter                   ;White
1987;Actress in a Leading Role   ;Sally Kirkland                 ;White
1987;Actress in a Leading Role   ;Meryl Streep                   ;White
1987;Actress in a Supporting Role;Norma Aleandro                 ;Hispa
1987;Actress in a Supporting Role;Anne Archer                    ;White
1987;Actress in a Supporting Role;Olympia Dukakis                ;White
1987;Actress in a Supporting Role;Anne Ramsey                    ;White
1987;Actress in a Supporting Role;Ann Sothern                    ;White
1987;Directing                   ;Adrian Lyne                    ;White
1987;Directing                   ;Bernardo Bertolucci            ;White
1987;Directing                   ;John Boorman                   ;White
1987;Directing                   ;Lasse Hallström               ;White
1987;Directing                   ;Norman Jewison                 ;White
1988;Actor in a Leading Role     ;Gene Hackman                   ;White
1988;Actor in a Leading Role     ;Tom Hanks                      ;White
1988;Actor in a Leading Role     ;Dustin Hoffman                 ;White
1988;Actor in a Leading Role     ;Edward James Olmos             ;Black
1988;Actor in a Leading Role     ;Max von Sydow                  ;White
1988;Actor in a Supporting Role  ;Alec Guinness                  ;White
1988;Actor in a Supporting Role  ;Kevin Kline                    ;White
1988;Actor in a Supporting Role  ;Martin Landau                  ;White
1988;Actor in a Supporting Role  ;River Phoenix                  ;White
1988;Actor in a Supporting Role  ;Dean Stockwell                 ;White
1988;Actress in a Leading Role   ;Glenn Close                    ;White
1988;Actress in a Leading Role   ;Jodie Foster                   ;White
1988;Actress in a Leading Role   ;Melanie Griffith               ;White
1988;Actress in a Leading Role   ;Meryl Streep                   ;White
1988;Actress in a Leading Role   ;Sigourney Weaver               ;White
1988;Actress in a Supporting Role;Joan Cusack                    ;White
1988;Actress in a Supporting Role;Geena Davis                    ;White
1988;Actress in a Supporting Role;Frances McDormand              ;White
1988;Actress in a Supporting Role;Michelle Pfeiffer              ;White
1988;Actress in a Supporting Role;Sigourney Weaver               ;White
1988;Directing                   ;Alan Parker                    ;White
1988;Directing                   ;Barry Levinson                 ;White
1988;Directing                   ;Charles Crichton               ;White
1988;Directing                   ;Martin Scorsese                ;White
1988;Directing                   ;Mike Nichols                   ;White
1989;Actor in a Leading Role     ;Kenneth Branagh                ;White
1989;Actor in a Leading Role     ;Tom Cruise                     ;White
1989;Actor in a Leading Role     ;Daniel Day Lewis               ;White
1989;Actor in a Leading Role     ;Morgan Freeman                 ;Black
1989;Actor in a Leading Role     ;Robin Williams                 ;White
1989;Actor in a Supporting Role  ;Danny Aiello                   ;White
1989;Actor in a Supporting Role  ;Dan Aykroyd                    ;White
1989;Actor in a Supporting Role  ;Marlon Brando                  ;White
1989;Actor in a Supporting Role  ;Martin Landau                  ;White
1989;Actor in a Supporting Role  ;Denzel Washington              ;Black
1989;Actress in a Leading Role   ;Isabelle Adjani                ;Arab 
1989;Actress in a Leading Role   ;Pauline Collins                ;White
1989;Actress in a Leading Role   ;Jessica Lange                  ;White
1989;Actress in a Leading Role   ;Michelle Pfeiffer              ;White
1989;Actress in a Leading Role   ;Jessica Tandy                  ;White
1989;Actress in a Supporting Role;Brenda Fricker                 ;White
1989;Actress in a Supporting Role;Anjelica Huston                ;White
1989;Actress in a Supporting Role;Lena Olin                      ;White
1989;Actress in a Supporting Role;Julia Roberts                  ;White
1989;Actress in a Supporting Role;Dianne Wiest                   ;White
1989;Directing                   ;Jim Sheridan                   ;White
1989;Directing                   ;Kenneth Branagh                ;White
1989;Directing                   ;Oliver Stone                   ;White
1989;Directing                   ;Peter Weir                     ;White
1989;Directing                   ;Woody Allen                    ;White
1990;Actor in a Leading Role     ;Kevin Costner                  ;White
1990;Actor in a Leading Role     ;Robert De Niro                 ;White
1990;Actor in a Leading Role     ;Gerard Depardieu               ;White
1990;Actor in a Leading Role     ;Richard Harris                 ;White
1990;Actor in a Leading Role     ;Jeremy Irons                   ;White
1990;Actor in a Supporting Role  ;Bruce Davison                  ;White
1990;Actor in a Supporting Role  ;Andy Garcia                    ;Hispa
1990;Actor in a Supporting Role  ;Graham Greene                  ;White
1990;Actor in a Supporting Role  ;Al Pacino                      ;White
1990;Actor in a Supporting Role  ;Joe Pesci                      ;White
1990;Actress in a Leading Role   ;Kathy Bates                    ;White
1990;Actress in a Leading Role   ;Anjelica Huston                ;White
1990;Actress in a Leading Role   ;Julia Roberts                  ;White
1990;Actress in a Leading Role   ;Meryl Streep                   ;White
1990;Actress in a Leading Role   ;Joanne Woodward                ;White
1990;Actress in a Supporting Role;Annette Bening                 ;White
1990;Actress in a Supporting Role;Lorraine Bracco                ;White
1990;Actress in a Supporting Role;Whoopi Goldberg                ;Black
1990;Actress in a Supporting Role;Diane Ladd                     ;White
1990;Actress in a Supporting Role;Mary McDonnell                 ;White
1990;Directing                   ;Barbet Schroeder               ;Arab 
1990;Directing                   ;Francis Ford Coppola           ;White
1990;Directing                   ;Kevin Costner                  ;White
1990;Directing                   ;Martin Scorsese                ;White
1990;Directing                   ;Stephen Frears                 ;White
1991;Actor in a Leading Role     ;Warren Beatty                  ;White
1991;Actor in a Leading Role     ;Robert De Niro                 ;White
1991;Actor in a Leading Role     ;Anthony Hopkins                ;White
1991;Actor in a Leading Role     ;Nick Nolte                     ;White
1991;Actor in a Leading Role     ;Robin Williams                 ;White
1991;Actor in a Supporting Role  ;Tommy Lee Jones                ;White
1991;Actor in a Supporting Role  ;Harvey Keitel                  ;White
1991;Actor in a Supporting Role  ;Ben Kingsley                   ;Asian
1991;Actor in a Supporting Role  ;Michael Lerner                 ;White
1991;Actor in a Supporting Role  ;Jack Palance                   ;White
1991;Actress in a Leading Role   ;Geena Davis                    ;White
1991;Actress in a Leading Role   ;Laura Dern                     ;White
1991;Actress in a Leading Role   ;Jodie Foster                   ;White
1991;Actress in a Leading Role   ;Bette Midler                   ;White
1991;Actress in a Leading Role   ;Susan Sarandon                 ;White
1991;Actress in a Supporting Role;Diane Ladd                     ;White
1991;Actress in a Supporting Role;Juliette Lewis                 ;White
1991;Actress in a Supporting Role;Kate Nelligan                  ;White
1991;Actress in a Supporting Role;Mercedes Ruehl                 ;White
1991;Actress in a Supporting Role;Jessica Tandy                  ;White
1991;Directing                   ;Barry Levinson                 ;White
1991;Directing                   ;John Singleton                 ;Black
1991;Directing                   ;Jonathan Demme                 ;White
1991;Directing                   ;Oliver Stone                   ;White
1991;Directing                   ;Ridley Scott                   ;White
1992;Actor in a Leading Role     ;Robert Downey Jr.              ;White
1992;Actor in a Leading Role     ;Clint Eastwood                 ;White
1992;Actor in a Leading Role     ;Al Pacino                      ;White
1992;Actor in a Leading Role     ;Stephen Rea                    ;White
1992;Actor in a Leading Role     ;Denzel Washington              ;Black
1992;Actor in a Supporting Role  ;Jaye Davidson                  ;Black
1992;Actor in a Supporting Role  ;Gene Hackman                   ;White
1992;Actor in a Supporting Role  ;Jack Nicholson                 ;White
1992;Actor in a Supporting Role  ;Al Pacino                      ;White
1992;Actor in a Supporting Role  ;David Paymer                   ;White
1992;Actress in a Leading Role   ;Catherine Deneuve              ;White
1992;Actress in a Leading Role   ;Mary McDonnell                 ;White
1992;Actress in a Leading Role   ;Michelle Pfeiffer              ;White
1992;Actress in a Leading Role   ;Susan Sarandon                 ;White
1992;Actress in a Leading Role   ;Emma Thompson                  ;White
1992;Actress in a Supporting Role;Judy Davis                     ;White
1992;Actress in a Supporting Role;Joan Plowright                 ;White
1992;Actress in a Supporting Role;Vanessa Redgrave               ;White
1992;Actress in a Supporting Role;Miranda Richardson             ;White
1992;Actress in a Supporting Role;Marisa Tomei                   ;White
1992;Directing                   ;Clint Eastwood                 ;White
1992;Directing                   ;James Ivory                    ;White
1992;Directing                   ;Martin Brest                   ;White
1992;Directing                   ;Neil Jordan                    ;Irish
1992;Directing                   ;Robert Altman                  ;White
1993;Actor in a Leading Role     ;Daniel Day-Lewis               ;White
1993;Actor in a Leading Role     ;Laurence Fishburne             ;Black
1993;Actor in a Leading Role     ;Tom Hanks                      ;White
1993;Actor in a Leading Role     ;Anthony Hopkins                ;White
1993;Actor in a Leading Role     ;Liam Neeson                    ;White
1993;Actor in a Supporting Role  ;Leonardo DiCaprio              ;White
1993;Actor in a Supporting Role  ;Ralph Fiennes                  ;White
1993;Actor in a Supporting Role  ;Tommy Lee Jones                ;White
1993;Actor in a Supporting Role  ;John Malkovich                 ;White
1993;Actor in a Supporting Role  ;Pete Postlethwaite             ;White
1993;Actress in a Leading Role   ;Angela Bassett                 ;Black
1993;Actress in a Leading Role   ;Stockard Channing              ;White
1993;Actress in a Leading Role   ;Holly Hunter                   ;White
1993;Actress in a Leading Role   ;Emma Thompson                  ;White
1993;Actress in a Leading Role   ;Debra Winger                   ;White
1993;Actress in a Supporting Role;Holly Hunter                   ;White
1993;Actress in a Supporting Role;Anna Paquin                    ;White
1993;Actress in a Supporting Role;Rosie Perez                    ;Hispa
1993;Actress in a Supporting Role;Winona Ryder                   ;White
1993;Actress in a Supporting Role;Emma Thompson                  ;White
1993;Directing                   ;James Ivory                    ;White
1993;Directing                   ;Jane Campion                   ;White
1993;Directing                   ;Jim Sheridan                   ;White
1993;Directing                   ;Robert Altman                  ;White
1993;Directing                   ;Steven Spielberg               ;White
1994;Actor in a Leading Role     ;Morgan Freeman                 ;Black
1994;Actor in a Leading Role     ;Tom Hanks                      ;White
1994;Actor in a Leading Role     ;Nigel Hawthorne                ;White
1994;Actor in a Leading Role     ;Paul Newman                    ;White
1994;Actor in a Leading Role     ;John Travolta                  ;White
1994;Actor in a Supporting Role  ;Samuel L. Jackson              ;Black
1994;Actor in a Supporting Role  ;Martin Landau                  ;White
1994;Actor in a Supporting Role  ;Chazz Palminteri               ;White
1994;Actor in a Supporting Role  ;Paul Scofield                  ;White
1994;Actor in a Supporting Role  ;Gary Sinise                    ;White
1994;Actress in a Leading Role   ;Jodie Foster                   ;White
1994;Actress in a Leading Role   ;Jessica Lange                  ;White
1994;Actress in a Leading Role   ;Miranda Richardson             ;White
1994;Actress in a Leading Role   ;Winona Ryder                   ;White
1994;Actress in a Leading Role   ;Susan Sarandon                 ;White
1994;Actress in a Supporting Role;Rosemary Harris                ;White
1994;Actress in a Supporting Role;Helen Mirren                   ;White
1994;Actress in a Supporting Role;Uma Thurman                    ;White
1994;Actress in a Supporting Role;Jennifer Tilly                 ;Asian
1994;Actress in a Supporting Role;Dianne Wiest                   ;White
1994;Directing                   ;Krzysztof Kieslowski           ;White
1994;Directing                   ;Quentin Tarantino              ;White
1994;Directing                   ;Robert Redford                 ;White
1994;Directing                   ;Robert Zemeckis                ;White
1994;Directing                   ;Woody Allen                    ;White
1995;Actor in a Leading Role     ;Nicolas Cage                   ;White
1995;Actor in a Leading Role     ;Richard Dreyfuss               ;White
1995;Actor in a Leading Role     ;Anthony Hopkins                ;White
1995;Actor in a Leading Role     ;Sean Penn                      ;White
1995;Actor in a Leading Role     ;Massimo Troisi                 ;White
1995;Actor in a Supporting Role  ;James Cromwell                 ;White
1995;Actor in a Supporting Role  ;Ed Harris                      ;White
1995;Actor in a Supporting Role  ;Brad Pitt                      ;White
1995;Actor in a Supporting Role  ;Tim Roth                       ;White
1995;Actor in a Supporting Role  ;Kevin Spacey                   ;White
1995;Actress in a Leading Role   ;Susan Sarandon                 ;White
1995;Actress in a Leading Role   ;Elisabeth Shue                 ;White
1995;Actress in a Leading Role   ;Sharon Stone                   ;White
1995;Actress in a Leading Role   ;Meryl Streep                   ;White
1995;Actress in a Leading Role   ;Emma Thompson                  ;White
1995;Actress in a Supporting Role;Joan Allen                     ;White
1995;Actress in a Supporting Role;Kathleen Quinlan               ;White
1995;Actress in a Supporting Role;Mira Sorvino                   ;White
1995;Actress in a Supporting Role;Mare Winningham                ;White
