birthplace;person;year_of_award
England    ;Maggie Smith        ;1970
USA        ;Gig Young           ;1970
USA        ;Goldie Hawn         ;1970
England    ;Maggie Smith        ;1970
Japan      ;Franklin J. Schaffne;1970
USA        ;George C. Scott     ;1971
England    ;Glenda Jackson      ;1971
USA        ;Helen Hayes         ;1971
England    ;John Mills          ;1971
USA        ;Jane Fonda          ;1972
USA        ;Cloris Leachman     ;1972
USA        ;William Friedkin    ;1972
USA        ;Gene Hackman        ;1972
USA        ;Ben Johnson         ;1972
USA        ;Bob Fosse           ;1973
USA        ;Liza Minnelli       ;1973
USA        ;Marlon Brando       ;1973
USA        ;Eileen Heckart      ;1973
USA        ;Joel Grey           ;1973
USA        ;George Roy Hill     ;1973
USA        ;Jack Lemmon         ;1974
USA        ;Tatum O'Neal        ;1974
England    ;Glenda Jackson      ;1974
Romania    ;John Houseman       ;1974
USA        ;Robert De Niro      ;1975
Sweden     ;Ingrid Bergman      ;1975
USA        ;Ellen Burstyn       ;1975
USA        ;Art Carney          ;1975
USA        ;Francis Ford Coppola;1975
USA        ;Lee Grant           ;1976
Czechoslova;Milos Forman        ;1976
USA        ;John G. Avildsen    ;1976
USA        ;Lee Grant           ;1976
USA        ;Jack Nicholson      ;1976
USA        ;George Burns        ;1976
USA        ;Louise Fletcher     ;1976
USA        ;Faye Dunaway        ;1977
USA        ;Jason Robards       ;1977
USA        ;Faye Dunaway        ;1977
England    ;Peter Finch         ;1977
USA        ;Jason Robards       ;1977
USA        ;Beatrice Straight   ;1977
England    ;Vanessa Redgrave    ;1978
USA        ;Richard Dreyfuss    ;1978
USA        ;Woody Allen         ;1978
USA        ;Jason Robards       ;1978
USA        ;Diane Keaton        ;1978
USA        ;Jane Fonda          ;1979
England    ;Maggie Smith        ;1979
USA        ;Michael Cimino      ;1979
USA        ;Christopher Walken  ;1979
USA        ;Jon Voight          ;1979
USA        ;Michael Cimino      ;1979
USA        ;Meryl Streep        ;1980
USA        ;Sally Field         ;1980
USA        ;Dustin Hoffman      ;1980
USA        ;Melvyn Douglas      ;1980
USA        ;Robert Redford      ;1980
USA        ;Robert Benton       ;1980
USA        ;Sissy Spacek        ;1981
USA        ;Timothy Hutton      ;1981
USA        ;Robert De Niro      ;1981
USA        ;Warren Beatty       ;1981
USA        ;Mary Steenburgen    ;1981
USA        ;Katharine Hepburn   ;1982
England    ;Richard Attenborough;1982
USA        ;Maureen Stapleton   ;1982
USA        ;Henry Fonda         ;1982
England    ;John Gielgud        ;1982
USA        ;Meryl Streep        ;1983
England    ;Ben Kingsley        ;1983
USA        ;James L. Brooks     ;1983
USA        ;Jessica Lange       ;1983
USA        ;Shirley MacLaine    ;1984
USA        ;Linda Hunt          ;1984
USA        ;Jack Nicholson      ;1984
USA        ;Robert Duvall       ;1984
Cambodia   ;Haing S. Ngor       ;1985
Czechoslova;Milos Forman        ;1985
England    ;Peggy Ashcroft      ;1985
USA        ;F. Murray Abraham   ;1985
USA        ;Sally Field         ;1985
USA        ;Geraldine Page      ;1986
USA        ;Sydney Pollack      ;1986
USA        ;Anjelica Huston     ;1986
USA        ;Don Ameche          ;1986
USA        ;William Hurt        ;1986
USA        ;Marlee Matlin       ;1987
England    ;Michael Caine       ;1987
USA        ;Paul Newman         ;1987
USA        ;Dianne Wiest        ;1987
USA        ;Cher                ;1988
Scotland   ;Sean Connery        ;1988
USA        ;Michael Douglas     ;1988
USA        ;Olympia Dukakis     ;1988
Italy      ;Bernardo Bertolucci ;1988
USA        ;Jodie Foster        ;1989
USA        ;Kevin Kline         ;1989
USA        ;Dustin Hoffman      ;1989
USA        ;Geena Davis         ;1989
USA        ;Barry Levinson      ;1989
USA        ;Oliver Stone        ;1990
USA        ;Denzel Washington   ;1990
Ireland    ;Brenda Fricker      ;1990
England    ;Jessica Tandy       ;1990
England    ;Daniel Day-Lewis    ;1990
USA        ;Oliver Stone        ;1990
USA        ;Kathy Bates         ;1991
USA        ;Joe Pesci           ;1991
USA        ;Whoopi Goldberg     ;1991
England    ;Jeremy Irons        ;1991
USA        ;Kevin Costner       ;1991
USA        ;Jonathan Demme      ;1992
USA        ;Jodie Foster        ;1992
USA        ;Mercedes Ruehl      ;1992
Wales      ;Anthony Hopkins     ;1992
USA        ;Jack Palance        ;1992
USA        ;Marisa Tomei        ;1993
USA        ;Al Pacino           ;1993
USA        ;Gene Hackman        ;1993
USA        ;Clint Eastwood      ;1993
England    ;Emma Thompson       ;1993
USA        ;Tom Hanks           ;1994
USA        ;Tommy Lee Jones     ;1994
USA        ;Tom Hanks           ;1994
USA        ;Steven Spielberg    ;1994
Canada     ;Anna Paquin         ;1994
USA        ;Holly Hunter        ;1994
USA        ;Robert Zemeckis     ;1995
USA        ;Martin Landau       ;1995
USA        ;Tom Hanks           ;1995
USA        ;Dianne Wiest        ;1995
USA        ;Jessica Lange       ;1995
USA        ;Mira Sorvino        ;1996
USA        ;Nicolas Cage        ;1996
USA        ;Mel Gibson          ;1996
USA        ;Susan Sarandon      ;1996
USA        ;Kevin Spacey        ;1996
Australia  ;Geoffrey Rush       ;1997
England    ;Anthony Minghella   ;1997
France     ;Juliette Binoche    ;1997
USA        ;Frances McDormand   ;1997
USA        ;Jack Nicholson      ;1997
Canada     ;James Cameron       ;1998
USA        ;Helen Hunt          ;1998
USA        ;Kim Basinger        ;1998
USA        ;Robin Williams      ;1998
USA        ;Gwyneth Paltrow     ;1999
Italy      ;Roberto Benigni     ;1999
England    ;Judi Dench          ;1999
USA        ;Gwyneth Paltrow     ;1999
USA        ;James Coburn        ;1999
USA        ;Steven Spielberg    ;1999
USA        ;James Coburn        ;1999
USA        ;Hilary Swank        ;2000
USA        ;Kevin Spacey        ;2000
England    ;Michael Caine       ;2000
England    ;Sam Mendes          ;2000
USA        ;Angelina Jolie      ;2000
USA        ;Angelina Jolie      ;2000
Puerto Rico;Benicio Del Toro    ;2001
USA        ;Steven Soderbergh   ;2001
USA        ;Marcia Gay Harden   ;2001
USA        ;Marcia Gay Harden   ;2001
USA        ;Julia Roberts       ;2001
New Zealand;Russell Crowe       ;2001
USA        ;Denzel Washington   ;2002
USA        ;Ron Howard          ;2002
USA        ;Jennifer Connelly   ;2002
USA        ;Halle Berry         ;2002
England    ;Jim Broadbent       ;2002
France     ;Roman Polanski      ;2003
Wales      ;Catherine Zeta-Jones;2003
USA        ;Chris Cooper        ;2003
USA        ;Nicole Kidman       ;2003
USA        ;Sean Penn           ;2003
USA        ;Adrien Brody        ;2003
South Afric;Charlize Theron     ;2004
USA        ;Tim Robbins         ;2004
USA        ;RenÌ©e Zellweger  ;2004
New Zealand;Peter Jackson       ;2004
USA        ;Hilary Swank        ;2005
USA        ;Morgan Freeman      ;2005
Australia  ;Cate Blanchett      ;2005
USA        ;Clint Eastwood      ;2005
USA        ;Hilary Swank        ;2005
USA        ;Jamie Foxx          ;2005
USA        ;Hilary Swank        ;2005
England    ;Rachel Weisz        ;2006
Taiwan     ;Ang Lee             ;2006
USA        ;George Clooney      ;2006
USA        ;Philip Seymour Hoffm;2006
England    ;Rachel Weisz        ;2006
USA        ;Reese Witherspoon   ;2006
USA        ;Alan Arkin          ;2007
USA        ;Martin Scorsese     ;2007
England    ;Helen Mirren        ;2007
USA        ;Jennifer Hudson     ;2007
England    ;Tilda Swinton       ;2007
USA        ;Forest Whitaker     ;2007
USA        ;Joel Coen           ;2008
Spain      ;Javier Bardem       ;2008
England    ;Daniel Day-Lewis    ;2008
USA        ;Ethan Coen          ;2008
France     ;Marion Cotillard    ;2008
Australia  ;Heath Ledger        ;2009
England    ;Danny Boyle         ;2009
Spain      ;Penelope Cruz       ;2009
England    ;Kate Winslet        ;2009
USA        ;Kathryn Bigelow     ;2009
England    ;Danny Boyle         ;2009
USA        ;Sean Penn           ;2009
USA        ;Mo'Nique            ;2010
USA        ;Sandra Bullock      ;2010
USA        ;Mo'Nique            ;2010
Austria    ;Christoph Waltz     ;2010
USA        ;Jeff Bridges        ;2010
Israel     ;Natalie Portman     ;2011
Wales      ;Christian Bale      ;2011
England    ;Colin Firth         ;2011
England    ;Tom Hooper          ;2011
USA        ;Melissa Leo         ;2011
France     ;Michel Hazanavicius ;2012
USA        ;Octavia Spencer     ;2012
France     ;Jean Dujardin       ;2012
USA        ;Meryl Streep        ;2012
Canada     ;Christopher Plummer ;2012
USA        ;Anne Hathaway       ;2013
England    ;Daniel Day-Lewis    ;2013
USA        ;Jennifer Lawrence   ;2013
Austria    ;Christoph Waltz     ;2013
Taiwan     ;Ang Lee             ;2013
USA        ;Matthew McConaughey ;2014
Australia  ;Cate Blanchett      ;2014
USA        ;Jared Leto          ;2014
Mexico     ;Lupita Nyong'o      ;2014
