Year;Award;Winner;Film;Name
1973;Directing                   ;;The Exorcist                   ;William Friedkin                                          
1973;Directing                   ;;Last Tango in Paris            ;Bernardo Bertolucci                                       
1973;Directing                   ;1;The Sting                      ;George Roy Hill                                           
1974;Directing                   ;;Chinatown                      ;Roman Polanski                                            
1974;Directing                   ;;Day for Night                  ;Francois Truffaut                                         
1974;Directing                   ;1;The Godfather Part II          ;Francis Ford Coppola                                      
1974;Directing                   ;;Lenny                          ;Bob Fosse                                                 
1974;Directing                   ;;A Woman under the Influence    ;John Cassavetes                                           
1975;Directing                   ;;Amarcord                       ;Federico Fellini                                          
1975;Directing                   ;;Barry Lyndon                   ;Stanley Kubrick                                           
1975;Directing                   ;;Dog Day Afternoon              ;Sidney Lumet                                              
1975;Directing                   ;;Nashville                      ;Robert Altman                                             
1975;Directing                   ;1;One Flew over the Cuckoo's Nest;Milos Forman                                              
1976;Directing                   ;;All the President's Men        ;Alan J. Pakula                                            
1976;Directing                   ;;Face to Face                   ;Ingmar Bergman                                            
1976;Directing                   ;;Network                        ;Sidney Lumet                                              
1976;Directing                   ;1;Rocky                          ;John G. Avildsen                                          
1976;Directing                   ;;Seven Beauties                 ;Lina Wertmüller                                          
1977;Directing                   ;1;Annie Hall                     ;Woody Allen                                               
1977;Directing                   ;;Close Encounters of the Third K;Steven Spielberg                                          
1977;Directing                   ;;Julia                          ;Fred Zinnemann                                            
1977;Directing                   ;;Star Wars                      ;George Lucas                                              
1977;Directing                   ;;The Turning Point              ;Herbert Ross                                              
1978;Directing                   ;;Coming Home                    ;Hal Ashby                                                 
1978;Directing                   ;1;The Deer Hunter                ;Michael Cimino                                            
1978;Directing                   ;;Heaven Can Wait                ;Warren Beatty, Buck Henry                                 
1978;Directing                   ;;Interiors                      ;Woody Allen                                               
1978;Directing                   ;;Midnight Express               ;Alan Parker                                               
1979;Directing                   ;;All That Jazz                  ;Bob Fosse                                                 
1979;Directing                   ;;Apocalypse Now                 ;Francis Coppola                                           
1979;Directing                   ;;Breaking Away                  ;Peter Yates                                               
1979;Directing                   ;1;Kramer vs. Kramer              ;Robert Benton                                             
1979;Directing                   ;;La Cage aux Folles             ;Edouard Molinaro                                          
1980;Directing                   ;;The Elephant Man               ;David Lynch                                               
1980;Directing                   ;1;Ordinary People                ;Robert Redford                                            
1980;Directing                   ;;Raging Bull                    ;Martin Scorsese                                           
1980;Directing                   ;;The Stunt Man                  ;Richard Rush                                              
1980;Directing                   ;;Tess                           ;Roman Polanski                                            
1981;Directing                   ;;Atlantic City                  ;Louis Malle                                               
1981;Directing                   ;;Chariots of Fire               ;Hugh Hudson                                               
1981;Directing                   ;;On Golden Pond                 ;Mark Rydell                                               
1981;Directing                   ;;Raiders of the Lost Ark        ;Steven Spielberg                                          
1981;Directing                   ;1;Reds                           ;Warren Beatty                                             
1982;Directing                   ;;Das Boot                       ;Wolfgang Petersen                                         
1982;Directing                   ;;E.T. The Extra-Terrestrial     ;Steven Spielberg                                          
1982;Directing                   ;1;Gandhi                         ;Richard Attenborough                                      
1982;Directing                   ;;Tootsie                        ;Sydney Pollack                                            
1982;Directing                   ;;The Verdict                    ;Sidney Lumet                                              
1983;Directing                   ;;The Dresser                    ;Peter Yates                                               
1983;Directing                   ;;Fanny & Alexander              ;Ingmar Bergman                                            
1983;Directing                   ;;Silkwood                       ;Mike Nichols                                              
1983;Directing                   ;;Tender Mercies                 ;Bruce Beresford                                           
1983;Directing                   ;1;Terms of Endearment            ;James L. Brooks                                           
1984;Directing                   ;1;Amadeus                        ;Milos Forman                                              
1984;Directing                   ;;Broadway Danny Rose            ;Woody Allen                                               
1984;Directing                   ;;The Killing Fields             ;Roland Joffé                                             
1984;Directing                   ;;A Passage to India             ;David Lean                                                
1984;Directing                   ;;Places in the Heart            ;Robert Benton                                             
1985;Directing                   ;;Kiss of the Spider Woman       ;Hector Babenco                                            
1985;Directing                   ;1;Out of Africa                  ;Sydney Pollack                                            
1985;Directing                   ;;Prizzi's Honor                 ;John Huston                                               
1985;Directing                   ;;Ran                            ;Akira Kurosawa                                            
1985;Directing                   ;;Witness                        ;Peter Weir                                                
1986;Directing                   ;;Blue Velvet                    ;David Lynch                                               
1986;Directing                   ;;Hannah and Her Sisters         ;Woody Allen                                               
1986;Directing                   ;;The Mission                    ;Roland Joffé                                             
1986;Directing                   ;1;Platoon                        ;Oliver Stone                                              
1986;Directing                   ;;A Room with a View             ;James Ivory                                               
1987;Directing                   ;;Fatal Attraction               ;Adrian Lyne                                               
1987;Directing                   ;;Hope and Glory                 ;John Boorman                                              
1987;Directing                   ;1;The Last Emperor               ;Bernardo Bertolucci                                       
1987;Directing                   ;;Moonstruck                     ;Norman Jewison                                            
1987;Directing                   ;;My Life as a Dog               ;Lasse Hallström                                          
1988;Directing                   ;;A Fish Called Wanda            ;Charles Crichton                                          
1988;Directing                   ;;The Last Temptation of Christ  ;Martin Scorsese                                           
1988;Directing                   ;;Mississippi Burning            ;Alan Parker                                               
1988;Directing                   ;1;Rain Man                       ;Barry Levinson                                            
1988;Directing                   ;;Working Girl                   ;Mike Nichols                                              
