Ano,Partido,Nome,Etnia,Pais,Continente,Estado,Categoria,Winner
1963,Democratic,Dame Edith Evans,White,England,Europe,0,ACTRESS IN A SUPPORTING ROLE,0
1963,Democratic,Joyce Redman,White,England,Europe,0,ACTRESS IN A SUPPORTING ROLE,0
1963,Democratic,Margaret Rutherford,White,England,Europe,0,ACTRESS IN A SUPPORTING ROLE,1
1963,Democratic,Lilia Skala,White,Austria,Europe,0,ACTRESS IN A SUPPORTING ROLE,0
1964,Democratic,Richard Burton,White,Wales,Europe,0,ACTOR,0
1964,Democratic,Rex Harrison,White,England,Europe,0,ACTOR,1
1964,Democratic,Peter O'Toole,White,Ireland,Europe,0,ACTOR,0
1964,Democratic,Anthony Quinn,Hispanic,Mexico,South America,0,ACTOR,0
1964,Democratic,Peter Sellers,White,England,Europe,0,ACTOR,0
1964,Democratic,John Gielgud,White,England,Europe,0,ACTOR IN A SUPPORTING ROLE,0
1964,Democratic,Stanley Holloway,White,England,Europe,0,ACTOR IN A SUPPORTING ROLE,0
1964,Democratic,Edmond O'Brien,White,USA,North America,New York,ACTOR IN A SUPPORTING ROLE,0
1964,Democratic,Lee Tracy,White,USA,North America,Georgia,ACTOR IN A SUPPORTING ROLE,0
1964,Democratic,Peter Ustinov,White,England,Europe,0,ACTOR IN A SUPPORTING ROLE,1
1964,Democratic,Julie Andrews,White,England,Europe,0,ACTRESS,1
1964,Democratic,Anne Bancroft,White,USA,North America,New York,ACTRESS,0
1964,Democratic,Sophia Loren,White,Italy,Europe,0,ACTRESS,0
1964,Democratic,Debbie Reynolds,White,USA,North America,Texas,ACTRESS,0
1964,Democratic,Kim Stanley,White,USA,North America,New Mexico,ACTRESS,0
1964,Democratic,Gladys Cooper,White,England,Europe,0,ACTRESS IN A SUPPORTING ROLE,0
1964,Democratic,Dame Edith Evans,White,England,Europe,0,ACTRESS IN A SUPPORTING ROLE,0
1964,Democratic,Grayson Hall,White,USA,North America,Pennsylvania,ACTRESS IN A SUPPORTING ROLE,0
1964,Democratic,Lila Kedrova,White,Russia,Asia,0,ACTRESS IN A SUPPORTING ROLE,1
1964,Democratic,Agnes Moorehead,White,USA,North America,Massachusetts,ACTRESS IN A SUPPORTING ROLE,0
1965,Democratic,Richard Burton,White,Wales,Europe,0,ACTOR,0
1965,Democratic,Lee Marvin,White,USA,North America,New York,ACTOR,1
