year,orientation,ethnicity,winner,ratio,party
1934,Straight,White,0,100,Democratic
1934,Straight,Asian,1,0,Democratic
1934,Straight,Black,1,0,Democratic
1934,Straight,Hispanic,1,0,Democratic
1934,Straight,White,1,100,Democratic
1934,Straight,Asian,2,0,Democratic
1934,Straight,Black,2,0,Democratic
1934,Straight,Hispanic,2,0,Democratic
1934,Straight,White,2,100,Democratic
1935,Bisexual,Asian,0,0,Democratic
1935,Bisexual,Black,0,0,Democratic
1935,Bisexual,Hispanic,0,0,Democratic
1935,Bisexual,White,0,0,Democratic
1935,Bisexual,Asian,1,0,Democratic
1935,Bisexual,Black,1,0,Democratic
1935,Bisexual,Hispanic,1,0,Democratic
1935,Bisexual,White,1,0,Democratic
1935,Bisexual,Asian,2,0,Democratic
1935,Bisexual,Black,2,0,Democratic
1935,Bisexual,Hispanic,2,0,Democratic
1935,Bisexual,White,2,0,Democratic
1935,Gay     ,Asian,0,0,Democratic
1935,Gay     ,Black,0,0,Democratic
1935,Gay     ,Hispanic,0,0,Democratic
1935,Gay     ,White,0,0,Democratic
1935,Gay     ,Asian,1,0,Democratic
1935,Gay     ,Black,1,0,Democratic
1935,Gay     ,Hispanic,1,0,Democratic
1935,Gay     ,White,1,0,Democratic
1935,Gay     ,Asian,2,0,Democratic
1935,Gay     ,Black,2,0,Democratic
1935,Gay     ,Hispanic,2,0,Democratic
1935,Gay     ,White,2,0,Democratic
1935,Lesbian ,Asian,0,0,Democratic
1935,Lesbian ,Black,0,0,Democratic
1935,Lesbian ,Hispanic,0,0,Democratic
1935,Lesbian ,White,0,0,Democratic
1935,Lesbian ,Asian,1,0,Democratic
1935,Lesbian ,Black,1,0,Democratic
1935,Lesbian ,Hispanic,1,0,Democratic
1935,Lesbian ,White,1,0,Democratic
1935,Lesbian ,Asian,2,0,Democratic
1935,Lesbian ,Black,2,0,Democratic
1935,Lesbian ,Hispanic,2,0,Democratic
1935,Lesbian ,White,2,0,Democratic
1935,Straight,Asian,0,8.33,Democratic
1935,Straight,Black,0,0,Democratic
1935,Straight,Hispanic,0,0,Democratic
1935,Straight,White,0,91.67,Democratic
1935,Straight,Asian,1,0,Democratic
1935,Straight,Black,1,0,Democratic
1935,Straight,Hispanic,1,0,Democratic
1935,Straight,White,1,100,Democratic
1935,Straight,Asian,2,6.664,Democratic
1935,Straight,Black,2,0,Democratic
1935,Straight,Hispanic,2,0,Democratic
1935,Straight,White,2,93.336,Democratic
1936,Bisexual,Asian,0,0,Democratic
1936,Bisexual,Black,0,0,Democratic
1936,Bisexual,Hispanic,0,0,Democratic
1936,Bisexual,White,0,0,Democratic
1936,Bisexual,Asian,1,0,Democratic
